,"Fit time, s","Score time, s",R2,Model,MAE,MSE
0,228.04167294502258,0.010220050811767578,0.9494825556864597,GradientBoosting,39.126440501533736,27661.680897117512
1,228.92899370193481,0.018195152282714844,0.9595410092874299,GradientBoosting,35.07662610256489,14125.761454780064
2,214.17640566825867,0.006233692169189453,0.7313834709149392,GradientBoosting,42.01184195967383,116741.8296234255
3,233.56760692596436,0.01807999610900879,0.973320571943449,GradientBoosting,36.09289496295436,10384.464295023496
4,185.40674448013306,0.016489267349243164,0.9492220514891587,GradientBoosting,35.64288562444043,19912.084988883755
0,16.023831129074097,0.01719498634338379,0.8560192018544377,AdaBoost,171.39704880178974,78839.1207776781
1,10.223716735839844,0.0068089962005615234,0.9109192197628229,AdaBoost,82.40342095306748,31101.464215346827
2,20.316295623779297,0.01629018783569336,0.6366624353635615,AdaBoost,160.47023058511516,157907.97465462622
3,10.619591236114502,0.009958982467651367,0.8849959721276631,AdaBoost,128.56384766194518,44763.149295883224
4,9.269169092178345,0.011103630065917969,0.8950445590284217,AdaBoost,99.84824494688817,41157.268498660254
0,224.69563746452332,0.0919487476348877,0.9188616772624617,MyAdaBoost,41.274194082452254,44428.660685266324
1,218.39977312088013,0.10234308242797852,0.9276547183563735,MyAdaBoost,39.43768068191132,25258.469696804477
2,241.73845505714417,0.13065338134765625,0.7098334960580781,MyAdaBoost,41.17163783706253,126107.5358280951
3,256.418518781662,0.125030517578125,0.949548114332742,MyAdaBoost,37.32029919678715,19637.44515878418
4,221.1668553352356,0.09944033622741699,0.9063788130583733,MyAdaBoost,40.612508797093135,36712.64960111244
0,165.33472061157227,0.007414340972900391,0.7771282186491381,HistGradientBoosting,52.556657559911386,122037.21269896599
1,72.81612038612366,0.01160287857055664,0.8943841057447866,HistGradientBoosting,39.68513479862839,36874.49691173102
2,172.38562655448914,0.012796401977539062,0.8397430981452574,HistGradientBoosting,39.94685562274761,69648.29750435814
3,145.5109007358551,0.010336637496948242,0.7067405827814751,HistGradientBoosting,44.424474203732494,114145.69835718042
4,96.12207865715027,0.004884481430053711,0.8701262933046334,HistGradientBoosting,47.86690095127424,50928.727161700284
0,22.093859434127808,0.0499720573425293,0.7593272092619993,LGBMRegressor,47.57501721911416,131784.45640863333
1,23.53170609474182,0.019507408142089844,0.8921060701762209,LGBMRegressor,44.3070177945011,37669.845151030146
2,20.517649173736572,0.022263765335083008,0.8268225275926576,LGBMRegressor,44.27436694166724,75263.62970758008
3,22.74107336997986,0.010747432708740234,0.7095417940654276,LGBMRegressor,46.96840626169273,113055.37968545462
4,9.870637893676758,0.010489225387573242,0.8677769075451442,LGBMRegressor,46.891885994433494,51850.01623080544
0,7.243393182754517,0.0045719146728515625,0.7986167740458345,CatBoost,44.6781452075782,110270.79081439476
1,7.604160785675049,0.03014373779296875,0.9353829109681924,CatBoost,37.66211406030482,22560.265826947936
2,6.92969274520874,0.003911018371582031,0.8655186804713643,CatBoost,38.79376343164271,58446.12520837823
3,6.793426036834717,0.007953643798828125,0.8451140479257938,CatBoost,39.46618460469491,60286.436264902455
4,5.311534404754639,0.008582592010498047,0.8173209319180761,CatBoost,38.570957179443475,71635.84264458278
0,119.3167495727539,0.00967097282409668,0.951981442856971,XGB,35.969478898866655,26293.372970066317
1,124.89538502693176,0.04838967323303223,0.961233353185278,XGB,32.10502048287745,13534.900294394563
2,146.63342952728271,0.03038930892944336,0.7171397794730692,XGB,37.03821669476291,122932.19551482928
3,150.37551379203796,0.0522611141204834,0.9705923490538432,XGB,33.01125309757931,11446.373610542752
4,58.639848947525024,0.022866249084472656,0.9612429559019912,XGB,33.01967040095826,15198.20273622711
